time,kind,price,idx
2025-11-17 08:00:00+00:00,H,0.56892,10
2025-11-17 17:00:00+00:00,H,0.56752,19
2025-11-17 20:00:00+00:00,L,0.56489,22
2025-11-18 04:00:00+00:00,L,0.56384,30
2025-11-18 13:00:00+00:00,H,0.56751,39
2025-11-18 16:00:00+00:00,L,0.56472,42
2025-11-19 17:00:00+00:00,L,0.559,67
2025-11-19 23:00:00+00:00,H,0.56152,73
2025-11-20 14:00:00+00:00,H,0.56389,88
2025-11-20 22:00:00+00:00,L,0.55808,96
2025-11-21 08:00:00+00:00,H,0.56074,106
2025-11-21 12:00:00+00:00,L,0.55828,110
2025-11-21 21:00:00+00:00,H,0.56158,119
2025-11-24 09:00:00+00:00,L,0.55955,131
2025-11-24 12:00:00+00:00,H,0.56146,134
2025-11-25 01:00:00+00:00,H,0.56218,147
2025-11-25 11:00:00+00:00,L,0.55914,157
2025-11-25 17:00:00+00:00,H,0.56287,163
2025-11-26 03:00:00+00:00,H,0.56966,173
2025-11-26 12:00:00+00:00,L,0.56628,182
2025-11-27 02:00:00+00:00,H,0.5732,196
2025-11-27 11:00:00+00:00,L,0.57088,205
2025-11-27 15:00:00+00:00,H,0.573,209
2025-11-28 11:00:00+00:00,L,0.57038,229
2025-11-28 15:00:00+00:00,H,0.57438,233
2025-12-01 03:00:00+00:00,L,0.57256,245
2025-12-01 13:00:00+00:00,H,0.5752,255
2025-12-02 01:00:00+00:00,L,0.57186,267
2025-12-02 07:00:00+00:00,H,0.57328,273
2025-12-02 10:00:00+00:00,L,0.57111,276
2025-12-02 15:00:00+00:00,H,0.57448,281
2025-12-03 05:00:00+00:00,H,0.57557,295
2025-12-03 14:00:00+00:00,L,0.57346,304
2025-12-03 21:00:00+00:00,H,0.57774,311
2025-12-04 03:00:00+00:00,L,0.57614,317
2025-12-04 08:00:00+00:00,H,0.57788,322
2025-12-04 13:00:00+00:00,L,0.5758,327
2025-12-04 15:00:00+00:00,H,0.57786,329
2025-12-04 23:00:00+00:00,L,0.57583,337
2025-12-05 14:00:00+00:00,H,0.5787,352
2025-12-05 16:00:00+00:00,L,0.57632,354
2025-12-08 01:00:00+00:00,H,0.57914,363
2025-12-08 07:00:00+00:00,L,0.57743,369
2025-12-08 13:00:00+00:00,H,0.57927,375
2025-12-08 15:00:00+00:00,L,0.57587,377
2025-12-09 01:00:00+00:00,L,0.57674,387
2025-12-09 15:00:00+00:00,H,0.5795,401
2025-12-09 15:00:00+00:00,L,0.57734,401
2025-12-10 00:00:00+00:00,H,0.57827,410
2025-12-10 03:00:00+00:00,L,0.57614,413
2025-12-10 10:00:00+00:00,H,0.57894,420
2025-12-10 13:00:00+00:00,L,0.57745,423
2025-12-10 20:00:00+00:00,H,0.58246,430
2025-12-11 06:00:00+00:00,L,0.57882,440
2025-12-11 14:00:00+00:00,H,0.58314,448
2025-12-11 20:00:00+00:00,L,0.58051,454
2025-12-12 01:00:00+00:00,H,0.58206,459
2025-12-12 16:00:00+00:00,L,0.57877,474
2025-12-15 01:00:00+00:00,H,0.58088,483
2025-12-15 04:00:00+00:00,L,0.57656,486
2025-12-15 15:00:00+00:00,H,0.5803,497
2025-12-16 01:00:00+00:00,L,0.57582,507
2025-12-16 13:00:00+00:00,H,0.58074,519
2025-12-16 19:00:00+00:00,L,0.57726,525
2025-12-17 07:00:00+00:00,L,0.57673,537
2025-12-17 15:00:00+00:00,H,0.57943,545
2025-12-18 03:00:00+00:00,L,0.57546,557
2025-12-18 13:00:00+00:00,H,0.57884,567
2025-12-19 01:00:00+00:00,H,0.57834,579
2025-12-19 13:00:00+00:00,L,0.5736,591
2025-12-19 18:00:00+00:00,H,0.57657,596
2025-12-21 22:00:00+00:00,L,0.57464,600
2025-12-22 17:00:00+00:00,H,0.58016,619
2025-12-22 22:00:00+00:00,L,0.57878,624
2025-12-23 13:00:00+00:00,H,0.58434,639
2025-12-24 02:00:00+00:00,H,0.58534,652
2025-12-24 18:00:00+00:00,L,0.58307,668
2025-12-26 01:00:00+00:00,H,0.5842,675
2025-12-26 10:00:00+00:00,L,0.5818,684
2025-12-26 15:00:00+00:00,H,0.58424,689
2025-12-29 02:00:00+00:00,H,0.58336,700
2025-12-29 12:00:00+00:00,L,0.57902,710
2025-12-29 22:00:00+00:00,L,0.5798,720
2025-12-30 06:00:00+00:00,H,0.58196,728
2025-12-31 15:00:00+00:00,L,0.574,761
2026-01-02 07:00:00+00:00,L,0.57556,777
2026-01-02 15:00:00+00:00,H,0.5778,785
2026-01-05 04:00:00+00:00,L,0.57424,798
2026-01-06 01:00:00+00:00,L,0.57793,819
2026-01-06 08:00:00+00:00,H,0.58105,826
2026-01-06 16:00:00+00:00,L,0.57688,834
2026-01-06 22:00:00+00:00,H,0.57963,840
2026-01-07 00:00:00+00:00,L,0.5777,842
2026-01-07 11:00:00+00:00,H,0.57932,853
2026-01-08 14:00:00+00:00,L,0.57376,880
2026-01-08 15:00:00+00:00,H,0.5755,881
2026-01-09 13:00:00+00:00,H,0.57457,903
2026-01-09 15:00:00+00:00,L,0.57112,905
2026-01-12 13:00:00+00:00,H,0.5769,927
2026-01-13 02:00:00+00:00,H,0.57806,940
2026-01-13 16:00:00+00:00,L,0.57351,954
2026-01-14 01:00:00+00:00,L,0.57306,963
2026-01-14 07:00:00+00:00,H,0.5751,969
2026-01-14 12:00:00+00:00,L,0.57369,974
2026-01-14 16:00:00+00:00,H,0.5756,978
2026-01-15 03:00:00+00:00,L,0.57314,989
2026-01-15 10:00:00+00:00,H,0.57524,996
2026-01-15 14:00:00+00:00,L,0.57255,1000
2026-01-16 11:00:00+00:00,H,0.57674,1021
2026-01-16 15:00:00+00:00,L,0.5742,1025
