time,o,h,l,c,volume
2025-12-15 00:00:00+00:00,0.58016,0.58041,0.57978,0.5804,1930
2025-12-15 01:00:00+00:00,0.58038,0.58088,0.58013,0.58081,3392
2025-12-15 02:00:00+00:00,0.58078,0.5808,0.57746,0.5781,5921
2025-12-15 03:00:00+00:00,0.5781,0.57845,0.57676,0.57702,3523
2025-12-15 04:00:00+00:00,0.57702,0.57756,0.57656,0.5775,2363
2025-12-15 05:00:00+00:00,0.57751,0.57822,0.5775,0.57812,2322
2025-12-15 06:00:00+00:00,0.57811,0.57854,0.5777,0.5785,2705
2025-12-15 07:00:00+00:00,0.5785,0.5788,0.57828,0.5783,3121
2025-12-15 08:00:00+00:00,0.57832,0.57868,0.57785,0.57792,3301
2025-12-15 09:00:00+00:00,0.57792,0.57868,0.57784,0.57862,2570
2025-12-15 10:00:00+00:00,0.57858,0.57869,0.57803,0.57856,2770
2025-12-15 11:00:00+00:00,0.57856,0.57955,0.57851,0.57932,1877
2025-12-15 12:00:00+00:00,0.5793,0.57975,0.57929,0.57942,1881
2025-12-15 13:00:00+00:00,0.57943,0.5799,0.57917,0.57917,2316
2025-12-15 14:00:00+00:00,0.57914,0.58028,0.57892,0.57971,4252
2025-12-15 15:00:00+00:00,0.5797,0.5803,0.5792,0.58022,6102
2025-12-15 16:00:00+00:00,0.58023,0.5803,0.579,0.57936,4239
2025-12-15 17:00:00+00:00,0.57935,0.57948,0.57866,0.57872,3399
2025-12-15 18:00:00+00:00,0.57872,0.57908,0.57828,0.57862,1809
2025-12-15 19:00:00+00:00,0.57862,0.57882,0.57835,0.57878,1275
2025-12-15 20:00:00+00:00,0.57877,0.57878,0.57842,0.57847,771
2025-12-15 21:00:00+00:00,0.57845,0.57865,0.57825,0.5783,702
2025-12-15 22:00:00+00:00,0.57808,0.57828,0.57788,0.5781,1485
2025-12-15 23:00:00+00:00,0.57812,0.57894,0.57806,0.57856,1345
2025-12-16 00:00:00+00:00,0.57856,0.57872,0.57712,0.57722,2848
2025-12-16 01:00:00+00:00,0.57722,0.57735,0.57582,0.5765,4269
2025-12-16 02:00:00+00:00,0.5765,0.57699,0.57636,0.57682,3852
2025-12-16 03:00:00+00:00,0.5768,0.57772,0.57672,0.57768,2516
2025-12-16 04:00:00+00:00,0.57768,0.57818,0.57755,0.57792,2155
2025-12-16 05:00:00+00:00,0.5779,0.57816,0.5776,0.57775,2263
2025-12-16 06:00:00+00:00,0.57774,0.57856,0.57754,0.57844,2148
2025-12-16 07:00:00+00:00,0.57844,0.5787,0.57822,0.5785,1628
2025-12-16 08:00:00+00:00,0.57852,0.57914,0.5785,0.57876,2333
2025-12-16 09:00:00+00:00,0.57878,0.57891,0.57831,0.57833,2304
2025-12-16 10:00:00+00:00,0.57832,0.57863,0.57816,0.57832,2450
2025-12-16 11:00:00+00:00,0.5783,0.57854,0.57807,0.57854,1492
2025-12-16 12:00:00+00:00,0.57854,0.57862,0.5779,0.57851,2175
2025-12-16 13:00:00+00:00,0.57854,0.58074,0.5777,0.57924,9063
2025-12-16 14:00:00+00:00,0.57922,0.58061,0.5789,0.58042,8150
2025-12-16 15:00:00+00:00,0.58044,0.58048,0.57854,0.57924,7128
2025-12-16 16:00:00+00:00,0.57922,0.57942,0.5788,0.57926,4529
2025-12-16 17:00:00+00:00,0.57928,0.57988,0.5788,0.57892,3235
