start_time,end_time,side,top,bottom,source_kind,source_time,source_price,strength,meta
2025-12-19 13:00:00+00:00,2025-12-24 02:00:00+00:00,buy,0.57494,0.5736,BOS,2025-12-22 02:00:00+00:00,0.5736,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 122, 'source_event_idx': 109, 'base_source_idx': 109, 'base_idx': 109, 'base_pattern': 'base', 'outer': 0.5736, 'inner': 0.57494, 'bounds_steps': [{'start_idx': 109, 'top': 0.57494, 'bottom': 0.5736, 'event': 'INIT'}], 'active': False}"
2025-12-23 13:00:00+00:00,2025-12-26 09:00:00+00:00,sell,0.58448,0.58373,CTS,2025-12-23 14:00:00+00:00,,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 158, 'source_event_idx': 158, 'base_source_idx': 157, 'base_idx': 157, 'base_pattern': 'base', 'outer': 0.58434, 'inner': 0.58373, 'bounds_steps': [{'start_idx': 157, 'top': 0.58434, 'bottom': 0.58373, 'event': 'INIT'}, {'start_idx': 168, 'top': 0.58448, 'bottom': 0.58373, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58448}], 'active': False, 'expanded': True, 'expanded_last_idx': 168, 'expanded_last_price': 0.58448, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-23 14:00:00+00:00,2025-12-26 14:00:00+00:00,buy,0.58284,0.58078,BOS,2025-12-24 02:00:00+00:00,0.58198,0.0,"{'structure_id': 0, 'cycle_id': 2, 'confirmed_idx': 170, 'source_event_idx': 158, 'base_source_idx': 158, 'base_idx': 158, 'base_pattern': 'no base', 'outer': 0.58198, 'inner': 0.58284, 'bounds_steps': [{'start_idx': 158, 'top': 0.58284, 'bottom': 0.58198, 'event': 'INIT'}, {'start_idx': 201, 'top': 0.58284, 'bottom': 0.5819, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5819}, {'start_idx': 202, 'top': 0.58284, 'bottom': 0.5818, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5818}, {'start_idx': 222, 'top': 0.58284, 'bottom': 0.58166, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 223, 'top': 0.58284, 'bottom': 0.58156, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 224, 'top': 0.58284, 'bottom': 0.58078, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': False, 'expanded': True, 'expanded_last_idx': 224, 'expanded_last_price': 0.58078, 'expanded_last_event': 'BOS_THRESHOLD_UPDATED'}"
2025-12-24 01:00:00+00:00,2025-12-26 06:00:00+00:00,sell,0.58534,0.58404,CTS,2025-12-26 09:00:00+00:00,,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 201, 'source_event_idx': 201, 'base_source_idx': 170, 'base_idx': 169, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 169, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
2025-12-24 01:00:00+00:00,2025-12-29 12:00:00+00:00,sell,0.58534,0.58404,BOS,2025-12-26 06:00:00+00:00,0.58534,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 198, 'source_event_idx': 170, 'base_source_idx': 170, 'base_idx': 169, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 169, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
2025-12-26 10:00:00+00:00,2025-12-26 14:00:00+00:00,buy,0.58214,0.58078,CTS,2025-12-26 14:00:00+00:00,,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 206, 'source_event_idx': 206, 'base_source_idx': 202, 'base_idx': 202, 'base_pattern': 'base', 'outer': 0.5818, 'inner': 0.58214, 'bounds_steps': [{'start_idx': 202, 'top': 0.58214, 'bottom': 0.5818, 'event': 'INIT'}, {'start_idx': 222, 'top': 0.58214, 'bottom': 0.58166, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 223, 'top': 0.58214, 'bottom': 0.58156, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 224, 'top': 0.58214, 'bottom': 0.58078, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': False, 'expanded': True, 'expanded_last_idx': 224, 'expanded_last_price': 0.58078, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-26 15:00:00+00:00,2025-12-26 06:00:00+00:00,sell,0.58424,0.58298,BOS,2025-12-29 12:00:00+00:00,0.58424,0.0,"{'structure_id': 1, 'cycle_id': 2, 'confirmed_idx': 228, 'source_event_idx': 207, 'base_source_idx': 207, 'base_idx': 207, 'base_pattern': 'base', 'outer': 0.58424, 'inner': 0.58298, 'bounds_steps': [{'start_idx': 207, 'top': 0.58424, 'bottom': 0.58298, 'event': 'INIT'}], 'active': False}"
2025-12-24 01:00:00+00:00,2025-12-29 12:00:00+00:00,sell,0.58534,0.58404,BOS,2025-12-26 06:00:00+00:00,0.58534,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 198, 'source_event_idx': 170, 'base_source_idx': 170, 'base_idx': 169, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 169, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
2025-12-26 10:00:00+00:00,,buy,0.58214,0.58078,CTS,2025-12-26 14:00:00+00:00,,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 206, 'source_event_idx': 206, 'base_source_idx': 202, 'base_idx': 202, 'base_pattern': 'base', 'outer': 0.5818, 'inner': 0.58214, 'bounds_steps': [{'start_idx': 202, 'top': 0.58214, 'bottom': 0.5818, 'event': 'INIT'}, {'start_idx': 222, 'top': 0.58214, 'bottom': 0.58166, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 223, 'top': 0.58214, 'bottom': 0.58156, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 224, 'top': 0.58214, 'bottom': 0.58078, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': True, 'expanded': True, 'expanded_last_idx': 224, 'expanded_last_price': 0.58078, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-26 15:00:00+00:00,,sell,0.58424,0.58298,BOS,2025-12-29 12:00:00+00:00,0.58424,0.0,"{'structure_id': 1, 'cycle_id': 2, 'confirmed_idx': 228, 'source_event_idx': 207, 'base_source_idx': 207, 'base_idx': 207, 'base_pattern': 'base', 'outer': 0.58424, 'inner': 0.58298, 'bounds_steps': [{'start_idx': 207, 'top': 0.58424, 'bottom': 0.58298, 'event': 'INIT'}], 'active': True}"
