time,kind,direction,price,meta
2025-12-16 13:00:00+00:00,BOS,1,0.58074,{'from': 0.5803}
2025-12-16 19:00:00+00:00,CTS,1,0.57726,{'from': 0.57582}
2025-12-17 07:00:00+00:00,BOS,-1,0.57673,{'from': 0.57726}
2025-12-17 15:00:00+00:00,CTS,-1,0.57943,{'from': 0.58074}
2025-12-18 03:00:00+00:00,BOS,-1,0.57546,{'from': 0.57673}
2025-12-18 13:00:00+00:00,CTS,-1,0.57884,{'from': 0.57943}
2025-12-19 01:00:00+00:00,CTS,-1,0.57834,{'from': 0.57884}
2025-12-19 13:00:00+00:00,BOS,-1,0.5736,{'from': 0.57546}
2025-12-19 18:00:00+00:00,CTS,-1,0.57657,{'from': 0.57834}
2025-12-22 17:00:00+00:00,BOS,1,0.58016,{'from': 0.57657}
2025-12-22 22:00:00+00:00,CTS,1,0.57878,{'from': 0.57464}
2025-12-23 13:00:00+00:00,BOS,1,0.58434,{'from': 0.58016}
2025-12-24 02:00:00+00:00,BOS,1,0.58534,{'from': 0.58434}
2025-12-24 18:00:00+00:00,CTS,1,0.58307,{'from': 0.57878}
2025-12-26 10:00:00+00:00,BOS,-1,0.5818,{'from': 0.58307}
2025-12-26 15:00:00+00:00,BOS,1,0.58424,{'from': 0.5842}
2025-12-29 12:00:00+00:00,BOS,-1,0.57902,{'from': 0.5818}
