time,kind,price,idx
2025-12-15 15:00:00+00:00,H,0.5803,15
2025-12-16 01:00:00+00:00,L,0.57582,25
2025-12-16 13:00:00+00:00,H,0.58074,37
2025-12-16 19:00:00+00:00,L,0.57726,43
2025-12-17 07:00:00+00:00,L,0.57673,55
2025-12-17 15:00:00+00:00,H,0.57943,63
2025-12-18 03:00:00+00:00,L,0.57546,75
2025-12-18 13:00:00+00:00,H,0.57884,85
2025-12-19 01:00:00+00:00,H,0.57834,97
2025-12-19 13:00:00+00:00,L,0.5736,109
2025-12-19 18:00:00+00:00,H,0.57657,114
2025-12-21 22:00:00+00:00,L,0.57464,118
2025-12-22 17:00:00+00:00,H,0.58016,137
2025-12-22 22:00:00+00:00,L,0.57878,142
2025-12-23 13:00:00+00:00,H,0.58434,157
2025-12-24 02:00:00+00:00,H,0.58534,170
2025-12-24 18:00:00+00:00,L,0.58307,186
2025-12-26 01:00:00+00:00,H,0.5842,193
2025-12-26 10:00:00+00:00,L,0.5818,202
2025-12-26 15:00:00+00:00,H,0.58424,207
2025-12-29 02:00:00+00:00,H,0.58336,218
2025-12-29 12:00:00+00:00,L,0.57902,228
