time,o,h,l,c,volume
2025-12-25 22:00:00+00:00,0.58391,0.58391,0.5837,0.5838,3
2025-12-25 22:15:00+00:00,0.58372,0.58391,0.58372,0.58375,5
2025-12-25 22:30:00+00:00,0.58387,0.58396,0.58387,0.58396,3
2025-12-25 22:45:00+00:00,0.58401,0.58413,0.58392,0.58392,140
2025-12-25 23:00:00+00:00,0.5838,0.584,0.5832,0.58346,742
2025-12-25 23:15:00+00:00,0.58344,0.58354,0.58313,0.58348,3960
2025-12-25 23:30:00+00:00,0.58348,0.5837,0.58348,0.58369,301
2025-12-25 23:45:00+00:00,0.58368,0.58369,0.58348,0.58357,205
2025-12-26 00:00:00+00:00,0.58356,0.58388,0.58346,0.58358,324
2025-12-26 00:15:00+00:00,0.58359,0.58396,0.58354,0.58388,314
2025-12-26 00:30:00+00:00,0.58389,0.58392,0.58364,0.5837,353
2025-12-26 00:45:00+00:00,0.5837,0.58376,0.58334,0.58344,722
2025-12-26 01:00:00+00:00,0.58348,0.58408,0.58344,0.5838,631
2025-12-26 01:15:00+00:00,0.58379,0.58394,0.58374,0.58382,416
2025-12-26 01:30:00+00:00,0.5838,0.5842,0.58376,0.58389,494
2025-12-26 01:45:00+00:00,0.58388,0.58388,0.58344,0.58349,573
2025-12-26 02:00:00+00:00,0.5835,0.58376,0.58344,0.58371,502
2025-12-26 02:15:00+00:00,0.58372,0.58378,0.5835,0.5835,389
2025-12-26 02:30:00+00:00,0.58348,0.58405,0.58345,0.58402,296
2025-12-26 02:45:00+00:00,0.58404,0.58406,0.58382,0.58388,284
2025-12-26 03:00:00+00:00,0.5839,0.58394,0.58374,0.58383,472
2025-12-26 03:15:00+00:00,0.58384,0.58384,0.5833,0.58342,470
2025-12-26 03:30:00+00:00,0.58344,0.58355,0.58323,0.58334,455
2025-12-26 03:45:00+00:00,0.58334,0.58346,0.5832,0.5832,587
2025-12-26 04:00:00+00:00,0.58321,0.5834,0.58314,0.58339,235
2025-12-26 04:15:00+00:00,0.58342,0.58346,0.5832,0.58332,218
2025-12-26 04:30:00+00:00,0.58332,0.58345,0.58318,0.58318,554
2025-12-26 04:45:00+00:00,0.5832,0.5833,0.58312,0.58326,349
2025-12-26 05:00:00+00:00,0.58328,0.58329,0.58298,0.583,355
