start_time,end_time,side,top,bottom,source_kind,source_time,source_price,strength,meta
2025-11-20 22:00:00+00:00,2025-12-23 10:00:00+00:00,buy,0.5591,0.55808,BOS,2025-11-21 17:00:00+00:00,0.55808,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 115, 'source_event_idx': 96, 'base_source_idx': 96, 'base_idx': 96, 'base_pattern': 'base', 'outer': 0.55808, 'inner': 0.5591, 'bounds_steps': [{'start_idx': 96, 'top': 0.5591, 'bottom': 0.55808, 'event': 'INIT'}], 'active': False}"
2025-12-10 20:00:00+00:00,2025-12-23 14:00:00+00:00,sell,0.58314,0.58132,CTS,2025-12-11 05:00:00+00:00,,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 439, 'source_event_idx': 439, 'base_source_idx': 430, 'base_idx': 430, 'base_pattern': 'base', 'outer': 0.58246, 'inner': 0.58132, 'bounds_steps': [{'start_idx': 430, 'top': 0.58246, 'bottom': 0.58132, 'event': 'INIT'}, {'start_idx': 447, 'top': 0.58267, 'bottom': 0.58132, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58267}, {'start_idx': 448, 'top': 0.58314, 'bottom': 0.58132, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58314}], 'active': False, 'expanded': True, 'expanded_last_idx': 448, 'expanded_last_price': 0.58314, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-19 13:00:00+00:00,2025-12-24 02:00:00+00:00,buy,0.57494,0.5736,BOS,2025-12-23 10:00:00+00:00,0.5736,0.0,"{'structure_id': 0, 'cycle_id': 2, 'confirmed_idx': 636, 'source_event_idx': 591, 'base_source_idx': 591, 'base_idx': 591, 'base_pattern': 'base', 'outer': 0.5736, 'inner': 0.57494, 'bounds_steps': [{'start_idx': 591, 'top': 0.57494, 'bottom': 0.5736, 'event': 'INIT'}], 'active': False}"
2025-12-23 13:00:00+00:00,2025-12-26 09:00:00+00:00,sell,0.58448,0.58373,CTS,2025-12-23 14:00:00+00:00,,0.0,"{'structure_id': 0, 'cycle_id': 2, 'confirmed_idx': 640, 'source_event_idx': 640, 'base_source_idx': 639, 'base_idx': 639, 'base_pattern': 'base', 'outer': 0.58434, 'inner': 0.58373, 'bounds_steps': [{'start_idx': 639, 'top': 0.58434, 'bottom': 0.58373, 'event': 'INIT'}, {'start_idx': 650, 'top': 0.58448, 'bottom': 0.58373, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58448}], 'active': False, 'expanded': True, 'expanded_last_idx': 650, 'expanded_last_price': 0.58448, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-23 14:00:00+00:00,2025-12-26 14:00:00+00:00,buy,0.58284,0.58078,BOS,2025-12-24 02:00:00+00:00,0.58198,0.0,"{'structure_id': 0, 'cycle_id': 3, 'confirmed_idx': 652, 'source_event_idx': 640, 'base_source_idx': 640, 'base_idx': 640, 'base_pattern': 'no base', 'outer': 0.58198, 'inner': 0.58284, 'bounds_steps': [{'start_idx': 640, 'top': 0.58284, 'bottom': 0.58198, 'event': 'INIT'}, {'start_idx': 683, 'top': 0.58284, 'bottom': 0.5819, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5819}, {'start_idx': 684, 'top': 0.58284, 'bottom': 0.5818, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5818}, {'start_idx': 704, 'top': 0.58284, 'bottom': 0.58166, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 705, 'top': 0.58284, 'bottom': 0.58156, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 706, 'top': 0.58284, 'bottom': 0.58078, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': False, 'expanded': True, 'expanded_last_idx': 706, 'expanded_last_price': 0.58078, 'expanded_last_event': 'BOS_THRESHOLD_UPDATED'}"
2025-12-24 01:00:00+00:00,2025-12-26 06:00:00+00:00,sell,0.58534,0.58404,CTS,2025-12-26 09:00:00+00:00,,0.0,"{'structure_id': 0, 'cycle_id': 1, 'confirmed_idx': 683, 'source_event_idx': 683, 'base_source_idx': 652, 'base_idx': 651, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 651, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
2025-12-24 01:00:00+00:00,2025-12-29 12:00:00+00:00,sell,0.58534,0.58404,BOS,2025-12-26 06:00:00+00:00,0.58534,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 680, 'source_event_idx': 652, 'base_source_idx': 652, 'base_idx': 651, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 651, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
2025-12-26 10:00:00+00:00,2025-12-26 14:00:00+00:00,buy,0.58214,0.58078,CTS,2025-12-26 14:00:00+00:00,,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 688, 'source_event_idx': 688, 'base_source_idx': 684, 'base_idx': 684, 'base_pattern': 'base', 'outer': 0.5818, 'inner': 0.58214, 'bounds_steps': [{'start_idx': 684, 'top': 0.58214, 'bottom': 0.5818, 'event': 'INIT'}, {'start_idx': 704, 'top': 0.58214, 'bottom': 0.58166, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 705, 'top': 0.58214, 'bottom': 0.58156, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 706, 'top': 0.58214, 'bottom': 0.58078, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': False, 'expanded': True, 'expanded_last_idx': 706, 'expanded_last_price': 0.58078, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-26 15:00:00+00:00,2025-12-26 06:00:00+00:00,sell,0.58424,0.58298,BOS,2025-12-29 12:00:00+00:00,0.58424,0.0,"{'structure_id': 1, 'cycle_id': 2, 'confirmed_idx': 710, 'source_event_idx': 689, 'base_source_idx': 689, 'base_idx': 689, 'base_pattern': 'base', 'outer': 0.58424, 'inner': 0.58298, 'bounds_steps': [{'start_idx': 689, 'top': 0.58424, 'bottom': 0.58298, 'event': 'INIT'}], 'active': False}"
2025-12-24 01:00:00+00:00,2025-12-29 12:00:00+00:00,sell,0.58534,0.58404,BOS,2025-12-26 06:00:00+00:00,0.58534,0.0,"{'structure_id': 1, 'cycle_id': 1, 'confirmed_idx': 680, 'source_event_idx': 652, 'base_source_idx': 652, 'base_idx': 651, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 651, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False}"
