time,kind,direction,price,meta
2025-11-18 04:00:00+00:00,BOS,-1,0.56384,{'from': 0.56489}
2025-11-18 13:00:00+00:00,CTS,-1,0.56751,{'from': 0.56752}
2025-11-19 17:00:00+00:00,BOS,-1,0.559,{'from': 0.56472}
2025-11-19 23:00:00+00:00,CTS,-1,0.56152,{'from': 0.56751}
2025-11-20 14:00:00+00:00,BOS,1,0.56389,{'from': 0.56152}
2025-11-20 22:00:00+00:00,BOS,-1,0.55808,{'from': 0.559}
2025-11-21 08:00:00+00:00,CTS,-1,0.56074,{'from': 0.56389}
2025-11-21 21:00:00+00:00,BOS,1,0.56158,{'from': 0.56074}
2025-11-24 09:00:00+00:00,CTS,1,0.55955,{'from': 0.55828}
2025-11-25 01:00:00+00:00,BOS,1,0.56218,{'from': 0.56146}
2025-11-25 11:00:00+00:00,BOS,-1,0.55914,{'from': 0.55955}
2025-11-25 17:00:00+00:00,BOS,1,0.56287,{'from': 0.56218}
2025-11-26 03:00:00+00:00,BOS,1,0.56966,{'from': 0.56287}
2025-11-26 12:00:00+00:00,CTS,1,0.56628,{'from': 0.55914}
2025-11-27 02:00:00+00:00,BOS,1,0.5732,{'from': 0.56966}
2025-11-27 11:00:00+00:00,CTS,1,0.57088,{'from': 0.56628}
2025-11-28 11:00:00+00:00,BOS,-1,0.57038,{'from': 0.57088}
2025-11-28 15:00:00+00:00,BOS,1,0.57438,{'from': 0.573}
2025-12-01 03:00:00+00:00,CTS,1,0.57256,{'from': 0.57038}
2025-12-01 13:00:00+00:00,BOS,1,0.5752,{'from': 0.57438}
2025-12-02 01:00:00+00:00,BOS,-1,0.57186,{'from': 0.57256}
2025-12-02 07:00:00+00:00,CTS,-1,0.57328,{'from': 0.5752}
2025-12-02 10:00:00+00:00,BOS,-1,0.57111,{'from': 0.57186}
2025-12-02 15:00:00+00:00,BOS,1,0.57448,{'from': 0.57328}
2025-12-03 05:00:00+00:00,BOS,1,0.57557,{'from': 0.57448}
2025-12-03 14:00:00+00:00,CTS,1,0.57346,{'from': 0.57111}
2025-12-03 21:00:00+00:00,BOS,1,0.57774,{'from': 0.57557}
2025-12-04 03:00:00+00:00,CTS,1,0.57614,{'from': 0.57346}
2025-12-04 08:00:00+00:00,BOS,1,0.57788,{'from': 0.57774}
2025-12-04 13:00:00+00:00,BOS,-1,0.5758,{'from': 0.57614}
2025-12-04 15:00:00+00:00,CTS,-1,0.57786,{'from': 0.57788}
2025-12-05 14:00:00+00:00,BOS,1,0.5787,{'from': 0.57786}
2025-12-05 16:00:00+00:00,CTS,1,0.57632,{'from': 0.57583}
2025-12-08 01:00:00+00:00,BOS,1,0.57914,{'from': 0.5787}
2025-12-08 07:00:00+00:00,CTS,1,0.57743,{'from': 0.57632}
2025-12-08 13:00:00+00:00,BOS,1,0.57927,{'from': 0.57914}
2025-12-08 15:00:00+00:00,BOS,-1,0.57587,{'from': 0.57743}
2025-12-09 15:00:00+00:00,BOS,1,0.5795,{'from': 0.57927}
2025-12-09 15:00:00+00:00,CTS,1,0.57734,{'from': 0.57674}
2025-12-10 03:00:00+00:00,BOS,-1,0.57614,{'from': 0.57734}
2025-12-10 10:00:00+00:00,BOS,1,0.57894,{'from': 0.57827}
2025-12-10 13:00:00+00:00,CTS,1,0.57745,{'from': 0.57614}
2025-12-10 20:00:00+00:00,BOS,1,0.58246,{'from': 0.57894}
2025-12-11 06:00:00+00:00,CTS,1,0.57882,{'from': 0.57745}
2025-12-11 14:00:00+00:00,BOS,1,0.58314,{'from': 0.58246}
2025-12-11 20:00:00+00:00,CTS,1,0.58051,{'from': 0.57882}
2025-12-12 16:00:00+00:00,BOS,-1,0.57877,{'from': 0.58051}
2025-12-15 01:00:00+00:00,CTS,-1,0.58088,{'from': 0.58206}
2025-12-15 04:00:00+00:00,BOS,-1,0.57656,{'from': 0.57877}
2025-12-15 15:00:00+00:00,CTS,-1,0.5803,{'from': 0.58088}
2025-12-16 01:00:00+00:00,BOS,-1,0.57582,{'from': 0.57656}
2025-12-16 13:00:00+00:00,BOS,1,0.58074,{'from': 0.5803}
2025-12-16 19:00:00+00:00,CTS,1,0.57726,{'from': 0.57582}
2025-12-17 07:00:00+00:00,BOS,-1,0.57673,{'from': 0.57726}
2025-12-17 15:00:00+00:00,CTS,-1,0.57943,{'from': 0.58074}
2025-12-18 03:00:00+00:00,BOS,-1,0.57546,{'from': 0.57673}
2025-12-18 13:00:00+00:00,CTS,-1,0.57884,{'from': 0.57943}
2025-12-19 01:00:00+00:00,CTS,-1,0.57834,{'from': 0.57884}
2025-12-19 13:00:00+00:00,BOS,-1,0.5736,{'from': 0.57546}
2025-12-19 18:00:00+00:00,CTS,-1,0.57657,{'from': 0.57834}
2025-12-22 17:00:00+00:00,BOS,1,0.58016,{'from': 0.57657}
2025-12-22 22:00:00+00:00,CTS,1,0.57878,{'from': 0.57464}
2025-12-23 13:00:00+00:00,BOS,1,0.58434,{'from': 0.58016}
2025-12-24 02:00:00+00:00,BOS,1,0.58534,{'from': 0.58434}
2025-12-24 18:00:00+00:00,CTS,1,0.58307,{'from': 0.57878}
2025-12-26 10:00:00+00:00,BOS,-1,0.5818,{'from': 0.58307}
2025-12-26 15:00:00+00:00,BOS,1,0.58424,{'from': 0.5842}
