start_time,end_time,side,top,bottom,source_kind,source_time,source_price,strength,meta
2025-11-20 22:00:00+00:00,2025-12-23 10:00:00+00:00,buy,0.5591,0.55808,BOS,2025-11-21 17:00:00+00:00,0.55808,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 0, 'confirmed_idx': 115, 'source_event_idx': 96, 'anchor_idx': 96, 'base_idx': 96, 'base_pattern': 'base inside bar', 'outer': 0.55808, 'inner': 0.5591, 'bounds_steps': [{'start_idx': 96, 'top': 0.5591, 'bottom': 0.55808, 'event': 'INIT'}], 'active': False}"
2025-12-10 20:00:00+00:00,2025-12-23 14:00:00+00:00,sell,0.58314,0.58132,CTS,2025-12-11 05:00:00+00:00,,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 0, 'confirmed_idx': 439, 'source_event_idx': 439, 'anchor_idx': 430, 'base_idx': 430, 'base_pattern': 'base inside bar', 'outer': 0.58246, 'inner': 0.58132, 'bounds_steps': [{'start_idx': 430, 'top': 0.58246, 'bottom': 0.58132, 'event': 'INIT'}, {'start_idx': 447, 'top': 0.58267, 'bottom': 0.58132, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58267}, {'start_idx': 448, 'top': 0.58314, 'bottom': 0.58132, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58314}], 'active': False, 'expanded': True, 'expanded_last_idx': 448, 'expanded_last_price': 0.58314, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-19 13:00:00+00:00,2025-12-24 02:00:00+00:00,buy,0.57494,0.5736,BOS,2025-12-23 10:00:00+00:00,0.5736,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 1, 'confirmed_idx': 636, 'source_event_idx': 591, 'anchor_idx': 591, 'base_idx': 591, 'base_pattern': 'base', 'outer': 0.5736, 'inner': 0.57494, 'bounds_steps': [{'start_idx': 591, 'top': 0.57494, 'bottom': 0.5736, 'event': 'INIT'}], 'active': False}"
2025-12-23 13:00:00+00:00,2025-12-26 09:00:00+00:00,sell,0.58448,0.58373,CTS,2025-12-23 14:00:00+00:00,,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 1, 'confirmed_idx': 640, 'source_event_idx': 640, 'anchor_idx': 639, 'base_idx': 639, 'base_pattern': 'base inside bar', 'outer': 0.58434, 'inner': 0.58373, 'bounds_steps': [{'start_idx': 639, 'top': 0.58434, 'bottom': 0.58373, 'event': 'INIT'}, {'start_idx': 650, 'top': 0.58448, 'bottom': 0.58373, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.58448}], 'active': False, 'expanded': True, 'expanded_last_idx': 650, 'expanded_last_price': 0.58448, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-23 14:00:00+00:00,2025-12-29 12:00:00+00:00,buy,0.58284,0.58078,BOS,2025-12-24 02:00:00+00:00,0.58198,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 2, 'confirmed_idx': 652, 'source_event_idx': 640, 'anchor_idx': 640, 'base_idx': 640, 'base_pattern': 'no base', 'outer': 0.58198, 'inner': 0.58284, 'bounds_steps': [{'start_idx': 640, 'top': 0.58284, 'bottom': 0.58198, 'event': 'INIT'}, {'start_idx': 683, 'top': 0.58284, 'bottom': 0.5819, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5819}, {'start_idx': 684, 'top': 0.58284, 'bottom': 0.5818, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.5818}, {'start_idx': 704, 'top': 0.58284, 'bottom': 0.58166, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58166}, {'start_idx': 705, 'top': 0.58284, 'bottom': 0.58156, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58156}, {'start_idx': 706, 'top': 0.58284, 'bottom': 0.58078, 'event': 'BOS_THRESHOLD_UPDATED', 'price': 0.58078}], 'active': False, 'expanded': True, 'expanded_last_idx': 706, 'expanded_last_price': 0.58078, 'expanded_last_event': 'BOS_THRESHOLD_UPDATED', 'deactivated_by': 'reversal'}"
2025-12-24 01:00:00+00:00,2025-12-29 12:00:00+00:00,sell,0.58534,0.58404,CTS,2025-12-26 09:00:00+00:00,,0.0,"{'structure_id': 0, 'struct_direction': 1, 'cycle_id': 2, 'confirmed_idx': 683, 'source_event_idx': 683, 'anchor_idx': 652, 'base_idx': 651, 'base_pattern': 'no base star 1st big', 'outer': 0.58534, 'inner': 0.58404, 'bounds_steps': [{'start_idx': 651, 'top': 0.58534, 'bottom': 0.58404, 'event': 'INIT'}], 'active': False, 'deactivated_by': 'reversal'}"
2025-12-26 15:00:00+00:00,2025-12-31 02:00:00+00:00,sell,0.58424,0.58348,BOS,2025-12-29 05:00:00+00:00,0.58424,0.0,"{'structure_id': 1, 'struct_direction': -1, 'cycle_id': 0, 'confirmed_idx': 703, 'source_event_idx': 689, 'anchor_idx': 689, 'base_idx': 689, 'base_pattern': 'no base big tail down', 'outer': 0.58424, 'inner': 0.58348, 'bounds_steps': [{'start_idx': 689, 'top': 0.58424, 'bottom': 0.58348, 'event': 'INIT'}], 'active': False}"
2025-12-29 12:00:00+00:00,2026-01-05 16:00:00+00:00,buy,0.58044,0.57856,CTS,2025-12-30 05:00:00+00:00,,0.0,"{'structure_id': 1, 'struct_direction': -1, 'cycle_id': 0, 'confirmed_idx': 727, 'source_event_idx': 727, 'anchor_idx': 710, 'base_idx': 710, 'base_pattern': 'base', 'outer': 0.57902, 'inner': 0.58044, 'bounds_steps': [{'start_idx': 710, 'top': 0.58044, 'bottom': 0.57902, 'event': 'INIT'}, {'start_idx': 741, 'top': 0.58044, 'bottom': 0.57899, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57899}, {'start_idx': 742, 'top': 0.58044, 'bottom': 0.57886, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57886}, {'start_idx': 746, 'top': 0.58044, 'bottom': 0.57856, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57856}], 'active': False, 'expanded': True, 'expanded_last_idx': 746, 'expanded_last_price': 0.57856, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
2025-12-30 05:00:00+00:00,,sell,0.58196,0.58132,BOS,2025-12-31 02:00:00+00:00,0.58196,0.0,"{'structure_id': 1, 'struct_direction': -1, 'cycle_id': 1, 'confirmed_idx': 748, 'source_event_idx': 728, 'anchor_idx': 728, 'base_idx': 727, 'base_pattern': 'no base star', 'outer': 0.58196, 'inner': 0.58132, 'bounds_steps': [{'start_idx': 727, 'top': 0.58196, 'bottom': 0.58132, 'event': 'INIT'}], 'active': True}"
2025-12-31 15:00:00+00:00,,buy,0.57538,0.57112,CTS,2026-01-05 16:00:00+00:00,,0.0,"{'structure_id': 1, 'struct_direction': -1, 'cycle_id': 1, 'confirmed_idx': 810, 'source_event_idx': 810, 'anchor_idx': 761, 'base_idx': 761, 'base_pattern': 'base inside bar', 'outer': 0.574, 'inner': 0.57538, 'bounds_steps': [{'start_idx': 761, 'top': 0.57538, 'bottom': 0.574, 'event': 'INIT'}, {'start_idx': 880, 'top': 0.57538, 'bottom': 0.57376, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57376}, {'start_idx': 897, 'top': 0.57538, 'bottom': 0.57305, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57305}, {'start_idx': 898, 'top': 0.57538, 'bottom': 0.57272, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57272}, {'start_idx': 900, 'top': 0.57538, 'bottom': 0.57264, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57264}, {'start_idx': 901, 'top': 0.57538, 'bottom': 0.57263, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57263}, {'start_idx': 902, 'top': 0.57538, 'bottom': 0.57228, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57228}, {'start_idx': 903, 'top': 0.57538, 'bottom': 0.57159, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57159}, {'start_idx': 905, 'top': 0.57538, 'bottom': 0.57112, 'event': 'CTS_THRESHOLD_UPDATED', 'price': 0.57112}], 'active': True, 'expanded': True, 'expanded_last_idx': 905, 'expanded_last_price': 0.57112, 'expanded_last_event': 'CTS_THRESHOLD_UPDATED'}"
