time,o,h,l,c,volume
2025-11-16 22:00:00+00:00,0.56794,0.56808,0.56784,0.56801,725
2025-11-16 23:00:00+00:00,0.568,0.56814,0.56752,0.56754,957
2025-11-17 00:00:00+00:00,0.56754,0.56759,0.56648,0.56666,2371
2025-11-17 01:00:00+00:00,0.56665,0.56698,0.56609,0.56637,2637
2025-11-17 02:00:00+00:00,0.56638,0.5667,0.56613,0.56631,2242
2025-11-17 03:00:00+00:00,0.5663,0.56638,0.56579,0.56622,1660
2025-11-17 04:00:00+00:00,0.56623,0.56674,0.56622,0.56674,991
2025-11-17 05:00:00+00:00,0.56674,0.56723,0.56674,0.56708,1024
2025-11-17 06:00:00+00:00,0.5671,0.56746,0.56672,0.5674,1665
2025-11-17 07:00:00+00:00,0.56741,0.56882,0.56736,0.56874,2455
2025-11-17 08:00:00+00:00,0.56876,0.56892,0.56739,0.56743,3430
2025-11-17 09:00:00+00:00,0.56742,0.56754,0.56691,0.56699,2244
2025-11-17 10:00:00+00:00,0.56698,0.56735,0.56627,0.56628,2483
2025-11-17 11:00:00+00:00,0.56627,0.567,0.56602,0.56688,2377
2025-11-17 12:00:00+00:00,0.56687,0.56733,0.56672,0.56682,1945
2025-11-17 13:00:00+00:00,0.56683,0.5669,0.56608,0.56638,2554
2025-11-17 14:00:00+00:00,0.56636,0.56678,0.56592,0.56665,4815
2025-11-17 15:00:00+00:00,0.56663,0.56717,0.5659,0.56716,4934
2025-11-17 16:00:00+00:00,0.56714,0.5673,0.56641,0.5673,3193
2025-11-17 17:00:00+00:00,0.56732,0.56752,0.56682,0.56689,2181
2025-11-17 18:00:00+00:00,0.56689,0.56689,0.566,0.566,1691
2025-11-17 19:00:00+00:00,0.56598,0.56606,0.56499,0.56508,2518
2025-11-17 20:00:00+00:00,0.56506,0.56568,0.56489,0.56562,1841
2025-11-17 21:00:00+00:00,0.56561,0.5658,0.56533,0.56578,1031
