idx,category,type,price,meta
115,STRUCTURE,CTS_ESTABLISHED,0.56126,"{'via': 'one_maru_continuous', 'anchor_idx': 114, 'pattern_name': 'one_maru_continuous', 'confirmed_at': 115, 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
96,STRUCTURE,BOS_CONFIRMED,0.55808,"{'source': 'initial_prior_extreme', 'confirmed_at': 115, 'pb_start': None, 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
115,STATE,STATE_CHANGED,,"{'from': 'none', 'to': 'breakout', 'structure_id': 0, 'struct_direction': 1, 'reason': 'breakout_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 115}"
117,RANGE,RANGE_STARTED,,"{'start_idx': 115, 'confirm_idx': 117, 'hi': 0.56126, 'lo': 0.56042, 'cts_idx': 115, 'cts_price': 0.56126, 'structure_id': 0, 'struct_direction': 1}"
117,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'range_confirmed', 'effective_idx': 115}"
116,RANGE,RANGE_UPDATED,,"{'hi': 0.56126, 'lo': 0.56014, 'structure_id': 0, 'struct_direction': 1}"
117,RANGE,RANGE_UPDATED,,"{'hi': 0.56154, 'lo': 0.56014, 'structure_id': 0, 'struct_direction': 1}"
117,STRUCTURE,CTS_UPDATED,0.56154,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
119,RANGE,RANGE_UPDATED,,"{'hi': 0.56158, 'lo': 0.56014, 'structure_id': 0, 'struct_direction': 1}"
119,STRUCTURE,CTS_UPDATED,0.56158,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
128,RANGE,RANGE_UPDATED,,"{'hi': 0.56158, 'lo': 0.56008, 'structure_id': 0, 'struct_direction': 1}"
129,RANGE,RANGE_UPDATED,,"{'hi': 0.56158, 'lo': 0.55994, 'structure_id': 0, 'struct_direction': 1}"
131,RANGE,RANGE_UPDATED,,"{'hi': 0.56158, 'lo': 0.55955, 'structure_id': 0, 'struct_direction': 1}"
147,RANGE,RANGE_UPDATED,,"{'hi': 0.56218, 'lo': 0.55955, 'structure_id': 0, 'struct_direction': 1}"
147,STRUCTURE,CTS_UPDATED,0.56218,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
152,RANGE,RANGE_UPDATED,,"{'hi': 0.56218, 'lo': 0.55926, 'structure_id': 0, 'struct_direction': 1}"
157,RANGE,RANGE_UPDATED,,"{'hi': 0.56218, 'lo': 0.55914, 'structure_id': 0, 'struct_direction': 1}"
163,RANGE,RANGE_UPDATED,,"{'hi': 0.56287, 'lo': 0.55914, 'structure_id': 0, 'struct_direction': 1}"
163,STRUCTURE,CTS_UPDATED,0.56287,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
170,RANGE,RANGE_UPDATED,,"{'hi': 0.5632, 'lo': 0.55914, 'structure_id': 0, 'struct_direction': 1}"
170,STRUCTURE,CTS_UPDATED,0.5632,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
171,STRUCTURE,CTS_UPDATED,0.56824,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
172,RANGE,RANGE_RESET,,"{'reason': 'range_breakout', 'pat': 'one_maru_continuous', 'structure_id': 0, 'struct_direction': 1}"
172,STRUCTURE,CTS_UPDATED,0.5692,"{'via': 'one_maru_continuous', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
172,STATE,STATE_CHANGED,,"{'from': 'range', 'to': 'breakout', 'structure_id': 0, 'struct_direction': 1, 'reason': 'breakout_pattern', 'pat': 'one_maru_continuous', 'effective_idx': 172}"
173,STRUCTURE,CTS_UPDATED,0.56966,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
175,RANGE,RANGE_STARTED,,"{'start_idx': 173, 'confirm_idx': 175, 'hi': 0.56966, 'lo': 0.56851, 'cts_idx': 173, 'cts_price': 0.56966, 'structure_id': 0, 'struct_direction': 1}"
175,STATE,STATE_CHANGED,,"{'from': 'breakout', 'to': 'range', 'structure_id': 0, 'struct_direction': 1, 'reason': 'range_confirmed', 'effective_idx': 173}"
174,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.56847, 'structure_id': 0, 'struct_direction': 1}"
176,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.56818, 'structure_id': 0, 'struct_direction': 1}"
177,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.56732, 'structure_id': 0, 'struct_direction': 1}"
178,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.5669, 'structure_id': 0, 'struct_direction': 1}"
180,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.56684, 'structure_id': 0, 'struct_direction': 1}"
181,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.5666, 'structure_id': 0, 'struct_direction': 1}"
182,RANGE,RANGE_UPDATED,,"{'hi': 0.56966, 'lo': 0.56628, 'structure_id': 0, 'struct_direction': 1}"
189,RANGE,RANGE_UPDATED,,"{'hi': 0.56974, 'lo': 0.56628, 'structure_id': 0, 'struct_direction': 1}"
189,STRUCTURE,CTS_UPDATED,0.56974,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
191,RANGE,RANGE_UPDATED,,"{'hi': 0.57018, 'lo': 0.56628, 'structure_id': 0, 'struct_direction': 1}"
191,STRUCTURE,CTS_UPDATED,0.57018,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
192,RANGE,RANGE_UPDATED,,"{'hi': 0.57038, 'lo': 0.56628, 'structure_id': 0, 'struct_direction': 1}"
192,STRUCTURE,CTS_UPDATED,0.57038,"{'via': 'replay_raw', 'cycle_id': 0, 'structure_id': 0, 'struct_direction': 1}"
